first_name,last_name,gender,email,shoe_type,shoe_material,shoe_color
Jane,Brown,Female,michael.smith@example.com,Heels,Mesh,White
Michael,Jones,Male,jane.davis@example.com,Flats,Canvas,White
Sarah,Johnson,Male,sarah.johnson@example.com,Boots,Canvas,White
John,Brown,Female,john.jones@example.com,Sneakers,Mesh,Red
Sarah,Davis,Male,sarah.johnson@example.com,Flats,Synthetic,Black
Jane,Williams,Male,john.williams@example.com,Sneakers,Mesh,Blue
Emily,Jones,Male,sarah.johnson@example.com,Flats,Synthetic,Green
John,Brown,Male,jane.williams@example.com,Sandals,Canvas,Red
Michael,Davis,Male,sarah.davis@example.com,Sneakers,Mesh,White
John,Davis,Male,david.brown@example.com,Heels,Mesh,Blue
Sarah,Johnson,Female,sarah.jones@example.com,Heels,Leather,Brown
John,Williams,Male,sarah.johnson@example.com,Flats,Mesh,Green
Sarah,Brown,Male,david.johnson@example.com,Heels,Mesh,Red
Michael,Brown,Female,john.brown@example.com,Boots,Leather,Brown
Michael,Williams,Female,jane.davis@example.com,Sneakers,Leather,Blue
Michael,Smith,Female,john.jones@example.com,Sandals,Leather,Green
John,Smith,Male,david.williams@example.com,Heels,Leather,Blue
Emily,Johnson,Male,john.davis@example.com,Boots,Canvas,White
David,Davis,Male,john.smith@example.com,Sandals,Leather,Blue
Jane,Williams,Female,jane.johnson@example.com,Heels,Canvas,Red
John,Williams,Male,david.johnson@example.com,Sandals,Synthetic,Brown
David,Smith,Male,michael.brown@example.com,Boots,Mesh,White
Emily,Johnson,Male,michael.davis@example.com,Sandals,Canvas,Brown
John,Brown,Male,michael.brown@example.com,Boots,Leather,Brown
John,Brown,Female,michael.davis@example.com,Heels,Canvas,Red
John,Davis,Male,john.smith@example.com,Boots,Canvas,White
Michael,Brown,Female,emily.brown@example.com,Flats,Synthetic,Brown
John,Williams,Male,jane.smith@example.com,Boots,Mesh,Blue
John,Brown,Male,david.williams@example.com,Boots,Mesh,Red
Sarah,Smith,Male,emily.brown@example.com,Sneakers,Mesh,Black
Jane,Jones,Male,sarah.davis@example.com,Sandals,Leather,Blue
John,Williams,Female,jane.jones@example.com,Boots,Synthetic,Brown
Sarah,Johnson,Male,emily.davis@example.com,Flats,Leather,Green
Emily,Jones,Male,david.jones@example.com,Sneakers,Canvas,Black
John,Williams,Male,sarah.williams@example.com,Sneakers,Synthetic,Blue
Emily,Jones,Female,sarah.davis@example.com,Sandals,Synthetic,Red
Michael,Jones,Female,sarah.davis@example.com,Boots,Mesh,Green
Emily,Jones,Male,jane.johnson@example.com,Boots,Leather,Red
John,Johnson,Male,michael.davis@example.com,Sandals,Canvas,Red
